[init] dropping graph 'bench2_b7_noisy_2m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init]   hub/star 170/2700 batches (85,000 edges)
[init]   hub/star 175/2700 batches (87,500 edges)
[init]   hub/star 180/2700 batches (90,000 edges)
[init]   hub/star 185/2700 batches (92,500 edges)
[init]   hub/star 190/2700 batches (95,000 edges)
[init]   hub/star 195/2700 batches (97,500 edges)
[init]   hub/star 200/2700 batches (100,000 edges)
[init]   hub/star 205/2700 batches (102,500 edges)
[init]   hub/star 210/2700 batches (105,000 edges)
[init]   hub/star 215/2700 batches (107,500 edges)
[init]   hub/star 220/2700 batches (110,000 edges)
[init]   hub/star 225/2700 batches (112,500 edges)
[init]   hub/star 230/2700 batches (115,000 edges)
[init]   hub/star 235/2700 batches (117,500 edges)
[init]   hub/star 240/2700 batches (120,000 edges)
[init]   hub/star 245/2700 batches (122,500 edges)
[init]   hub/star 250/2700 batches (125,000 edges)
[init]   hub/star 255/2700 batches (127,500 edges)
[init]   hub/star 260/2700 batches (130,000 edges)
[init]   hub/star 265/2700 batches (132,500 edges)
[init]   hub/star 270/2700 batches (135,000 edges)
[init]   hub/star 275/2700 batches (137,500 edges)
[init]   hub/star 280/2700 batches (140,000 edges)
[init]   hub/star 285/2700 batches (142,500 edges)
[init]   hub/star 290/2700 batches (145,000 edges)
[init]   hub/star 295/2700 batches (147,500 edges)
[init]   hub/star 300/2700 batches (150,000 edges)
[init]   hub/star 305/2700 batches (152,500 edges)
[init]   hub/star 310/2700 batches (155,000 edges)
[init]   hub/star 315/2700 batches (157,500 edges)
[init]   hub/star 320/2700 batches (160,000 edges)
[init]   hub/star 325/2700 batches (162,500 edges)
[init]   hub/star 330/2700 batches (165,000 edges)
[init]   hub/star 335/2700 batches (167,500 edges)
[init]   hub/star 340/2700 batches (170,000 edges)
[init]   hub/star 345/2700 batches (172,500 edges)
[init]   hub/star 350/2700 batches (175,000 edges)
[init]   hub/star 355/2700 batches (177,500 edges)
[init]   hub/star 360/2700 batches (180,000 edges)
[init]   hub/star 365/2700 batches (182,500 edges)
[init]   hub/star 370/2700 batches (185,000 edges)
[init]   hub/star 375/2700 batches (187,500 edges)
[init]   hub/star 380/2700 batches (190,000 edges)
[init]   hub/star 385/2700 batches (192,500 edges)
[init]   hub/star 390/2700 batches (195,000 edges)
[init]   hub/star 395/2700 batches (197,500 edges)
[init]   hub/star 400/2700 batches (200,000 edges)
[init]   hub/star 405/2700 batches (202,500 edges)
[init]   hub/star 410/2700 batches (205,000 edges)
[init]   hub/star 415/2700 batches (207,500 edges)
[init]   hub/star 420/2700 batches (210,000 edges)
[init]   hub/star 425/2700 batches (212,500 edges)
[init]   hub/star 430/2700 batches (215,000 edges)
[init]   hub/star 435/2700 batches (217,500 edges)
[init]   hub/star 440/2700 batches (220,000 edges)
[init]   hub/star 445/2700 batches (222,500 edges)
[init]   hub/star 450/2700 batches (225,000 edges)
[init]   hub/star 455/2700 batches (227,500 edges)
[init]   hub/star 460/2700 batches (230,000 edges)
[init]   hub/star 465/2700 batches (232,500 edges)
[init]   hub/star 470/2700 batches (235,000 edges)
[init]   hub/star 475/2700 batches (237,500 edges)
[init]   hub/star 480/2700 batches (240,000 edges)
[init]   hub/star 485/2700 batches (242,500 edges)
[init]   hub/star 490/2700 batches (245,000 edges)
[init]   hub/star 495/2700 batches (247,500 edges)
[init]   hub/star 500/2700 batches (250,000 edges)
[init]   hub/star 505/2700 batches (252,500 edges)
[init]   hub/star 510/2700 batches (255,000 edges)
[init]   hub/star 515/2700 batches (257,500 edges)
[init]   hub/star 520/2700 batches (260,000 edges)
[init]   hub/star 525/2700 batches (262,500 edges)
[init]   hub/star 530/2700 batches (265,000 edges)
[init]   hub/star 535/2700 batches (267,500 edges)
[init]   hub/star 540/2700 batches (270,000 edges)
[init]   hub/star 545/2700 batches (272,500 edges)
[init]   hub/star 550/2700 batches (275,000 edges)
[init]   hub/star 555/2700 batches (277,500 edges)
[init]   hub/star 560/2700 batches (280,000 edges)
[init]   hub/star 565/2700 batches (282,500 edges)
[init]   hub/star 570/2700 batches (285,000 edges)
[init]   hub/star 575/2700 batches (287,500 edges)
[init]   hub/star 580/2700 batches (290,000 edges)
[init]   hub/star 585/2700 batches (292,500 edges)
[init]   hub/star 590/2700 batches (295,000 edges)
[init]   hub/star 595/2700 batches (297,500 edges)
[init]   hub/star 600/2700 batches (300,000 edges)
[init]   hub/star 605/2700 batches (302,500 edges)
[init]   hub/star 610/2700 batches (305,000 edges)
[init]   hub/star 615/2700 batches (307,500 edges)
[init]   hub/star 620/2700 batches (310,000 edges)
[init]   hub/star 625/2700 batches (312,500 edges)
[init]   hub/star 630/2700 batches (315,000 edges)
[init]   hub/star 635/2700 batches (317,500 edges)
[init]   hub/star 640/2700 batches (320,000 edges)
[init]   hub/star 645/2700 batches (322,500 edges)
[init]   hub/star 650/2700 batches (325,000 edges)
[init]   hub/star 655/2700 batches (327,500 edges)
[init]   hub/star 660/2700 batches (330,000 edges)
[init]   hub/star 665/2700 batches (332,500 edges)
[init]   hub/star 670/2700 batches (335,000 edges)
[init]   hub/star 675/2700 batches (337,500 edges)
[init]   hub/star 680/2700 batches (340,000 edges)
[init]   hub/star 685/2700 batches (342,500 edges)
[init]   hub/star 690/2700 batches (345,000 edges)
[init]   hub/star 695/2700 batches (347,500 edges)
[init]   hub/star 700/2700 batches (350,000 edges)
[init]   hub/star 705/2700 batches (352,500 edges)
[init]   hub/star 710/2700 batches (355,000 edges)
[init]   hub/star 715/2700 batches (357,500 edges)
[init]   hub/star 720/2700 batches (360,000 edges)
[init]   hub/star 725/2700 batches (362,500 edges)
[init]   hub/star 730/2700 batches (365,000 edges)
[init]   hub/star 735/2700 batches (367,500 edges)
[init]   hub/star 740/2700 batches (370,000 edges)
[init]   hub/star 745/2700 batches (372,500 edges)
[init]   hub/star 750/2700 batches (375,000 edges)
[init]   hub/star 755/2700 batches (377,500 edges)
[init]   hub/star 760/2700 batches (380,000 edges)
[init]   hub/star 765/2700 batches (382,500 edges)
[init]   hub/star 770/2700 batches (385,000 edges)
[init]   hub/star 775/2700 batches (387,500 edges)
[init]   hub/star 780/2700 batches (390,000 edges)
[init]   hub/star 785/2700 batches (392,500 edges)
[init]   hub/star 790/2700 batches (395,000 edges)
[init]   hub/star 795/2700 batches (397,500 edges)
[init]   hub/star 800/2700 batches (400,000 edges)
[init]   hub/star 805/2700 batches (402,500 edges)
[init]   hub/star 810/2700 batches (405,000 edges)
[init]   hub/star 815/2700 batches (407,500 edges)
[init]   hub/star 820/2700 batches (410,000 edges)
[init]   hub/star 825/2700 batches (412,500 edges)
[init]   hub/star 830/2700 batches (415,000 edges)
[init]   hub/star 835/2700 batches (417,500 edges)
[init]   hub/star 840/2700 batches (420,000 edges)
[init]   hub/star 845/2700 batches (422,500 edges)
[init]   hub/star 850/2700 batches (425,000 edges)
[init]   hub/star 855/2700 batches (427,500 edges)
[init]   hub/star 860/2700 batches (430,000 edges)
[init]   hub/star 865/2700 batches (432,500 edges)
[init]   hub/star 870/2700 batches (435,000 edges)
[init]   hub/star 875/2700 batches (437,500 edges)
[init]   hub/star 880/2700 batches (440,000 edges)
[init]   hub/star 885/2700 batches (442,500 edges)
[init]   hub/star 890/2700 batches (445,000 edges)
[init]   hub/star 895/2700 batches (447,500 edges)
[init]   hub/star 900/2700 batches (450,000 edges)
[init]   hub/star 905/2700 batches (452,500 edges)
[init]   hub/star 910/2700 batches (455,000 edges)
[init]   hub/star 915/2700 batches (457,500 edges)
[init]   hub/star 920/2700 batches (460,000 edges)
[init]   hub/star 925/2700 batches (462,500 edges)
[init]   hub/star 930/2700 batches (465,000 edges)
[init]   hub/star 935/2700 batches (467,500 edges)
